z rho_density
-5.000000e+00 -0.000000e+00
-4.982496e+00 -0.000000e+00
-4.964991e+00 -0.000000e+00
-4.947487e+00 -0.000000e+00
-4.929982e+00 -0.000000e+00
-4.912478e+00 -0.000000e+00
-4.894974e+00 -0.000000e+00
-4.877469e+00 -0.000000e+00
-4.859965e+00 -0.000000e+00
-4.842461e+00 -0.000000e+00
-4.824956e+00 -0.000000e+00
-4.807452e+00 -0.000000e+00
-4.789947e+00 -0.000000e+00
-4.772443e+00 -0.000000e+00
-4.754939e+00 -0.000000e+00
-4.737434e+00 -0.000000e+00
-4.719930e+00 -0.000000e+00
-4.702426e+00 -0.000000e+00
-4.684921e+00 -0.000000e+00
-4.667417e+00 -0.000000e+00
-4.649912e+00 -0.000000e+00
-4.632408e+00 -0.000000e+00
-4.614904e+00 -0.000000e+00
-4.597399e+00 -0.000000e+00
-4.579895e+00 -0.000000e+00
-4.562391e+00 -0.000000e+00
-4.544886e+00 -0.000000e+00
-4.527382e+00 -0.000000e+00
-4.509877e+00 -0.000000e+00
-4.492373e+00 -0.000000e+00
-4.474869e+00 -0.000000e+00
-4.457364e+00 -0.000000e+00
-4.439860e+00 -0.000000e+00
-4.422356e+00 -0.000000e+00
-4.404851e+00 -0.000000e+00
-4.387347e+00 -0.000000e+00
-4.369842e+00 -0.000000e+00
-4.352338e+00 -0.000000e+00
-4.334834e+00 -0.000000e+00
-4.317329e+00 -0.000000e+00
-4.299825e+00 -0.000000e+00
-4.282321e+00 -0.000000e+00
-4.264816e+00 -0.000000e+00
-4.247312e+00 -0.000000e+00
-4.229807e+00 -0.000000e+00
-4.212303e+00 -0.000000e+00
-4.194799e+00 -0.000000e+00
-4.177294e+00 -0.000000e+00
-4.159790e+00 -0.000000e+00
-4.142286e+00 -0.000000e+00
-4.124781e+00 -0.000000e+00
-4.107277e+00 -0.000000e+00
-4.089772e+00 -0.000000e+00
-4.072268e+00 -0.000000e+00
-4.054764e+00 -0.000000e+00
-4.037259e+00 -0.000000e+00
-4.019755e+00 -0.000000e+00
-4.002251e+00 -0.000000e+00
-3.984746e+00 -0.000000e+00
-3.967242e+00 -0.000000e+00
-3.949737e+00 -0.000000e+00
-3.932233e+00 -0.000000e+00
-3.914729e+00 -0.000000e+00
-3.897224e+00 -0.000000e+00
-3.879720e+00 -0.000000e+00
-3.862216e+00 -0.000000e+00
-3.844711e+00 -0.000000e+00
-3.827207e+00 -0.000000e+00
-3.809702e+00 -0.000000e+00
-3.792198e+00 -0.000000e+00
-3.774694e+00 -0.000000e+00
-3.757189e+00 -0.000000e+00
-3.739685e+00 -0.000000e+00
-3.722181e+00 -0.000000e+00
-3.704676e+00 -0.000000e+00
-3.687172e+00 -0.000000e+00
-3.669667e+00 -0.000000e+00
-3.652163e+00 -0.000000e+00
-3.634659e+00 -0.000000e+00
-3.617154e+00 -0.000000e+00
-3.599650e+00 -0.000000e+00
-3.582146e+00 -0.000000e+00
-3.564641e+00 -0.000000e+00
-3.547137e+00 -0.000000e+00
-3.529632e+00 -0.000000e+00
-3.512128e+00 -0.000000e+00
-3.494624e+00 -0.000000e+00
-3.477119e+00 -0.000000e+00
-3.459615e+00 -0.000000e+00
-3.442111e+00 -0.000000e+00
-3.424606e+00 -0.000000e+00
-3.407102e+00 -0.000000e+00
-3.389597e+00 -0.000000e+00
-3.372093e+00 -0.000000e+00
-3.354589e+00 -0.000000e+00
-3.337084e+00 -0.000000e+00
-3.319580e+00 -0.000000e+00
-3.302076e+00 -0.000000e+00
-3.284571e+00 -0.000000e+00
-3.267067e+00 -0.000000e+00
-3.249562e+00 -0.000000e+00
-3.232058e+00 -0.000000e+00
